Ticker,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-GBP,BTC-GBP,BTC-GBP,BTC-GBP,BTC-GBP,BTC-GBP
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Datetime,,,,,,,,,,,,,,,,,,
2024-12-13 00:00:00+00:00,95504.3515625,95505.25,95470.546875,95489.25,95489.25,0,100030.8515625,100030.8515625,99991.359375,100000.6796875,100000.6796875,0,78909.3359375,78909.3359375,78876.5859375,78896.5390625,78896.5390625,0
2024-12-13 00:05:00+00:00,95569.4453125,95694.125,95561.2421875,95693.71875,95693.71875,0,100074.6015625,100222.890625,100074.6015625,100222.890625,100222.890625,0,78960.9609375,79071.15625,78956.359375,79068.6484375,79068.6484375,0
2024-12-13 00:10:00+00:00,95659.2578125,95659.2578125,95460.328125,95460.328125,95460.328125,0,100185.8515625,100185.8515625,100020.203125,100020.203125,100020.203125,41902080,79038.0234375,79038.0234375,78874.7109375,78874.7109375,78874.7109375,0
2024-12-13 00:15:00+00:00,95480.0078125,95624.796875,95480.0078125,95624.796875,95624.796875,0,99999.5,100160.25,99999.5,100160.25,100160.25,0,78890.9140625,79010.0078125,78890.9140625,79010.0078125,79010.0078125,0
2024-12-13 00:20:00+00:00,95684.4140625,95738.6875,95683.9140625,95732.34375,95732.34375,0,100226.578125,100283.9609375,100226.578125,100267.9609375,100267.9609375,0,79060.828125,79106.90625,79058.4296875,79102.796875,79102.796875,0
2024-12-13 00:25:00+00:00,95734.03125,95766.453125,95728.4609375,95728.4609375,95728.4609375,0,100278.5546875,100310.5234375,100278.5546875,100302.359375,100302.359375,0,79108.046875,79133.5703125,79100.046875,79100.046875,79100.046875,0
2024-12-13 00:30:00+00:00,95717.53125,95733.3046875,95683.6171875,95733.3046875,95733.3046875,0,100266.0,100266.0,100230.46875,100230.46875,100230.46875,0,79105.3671875,79107.1953125,79067.203125,79107.1953125,79107.1953125,0
2024-12-13 00:35:00+00:00,95720.6171875,95720.6171875,95701.625,95701.625,95701.625,0,100285.359375,100285.359375,100239.4609375,100239.4609375,100239.4609375,0,79094.03125,79094.03125,79076.0078125,79076.0078125,79076.0078125,0
