Ticker,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2019-12-13,1.3476543426513672,1.3509862422943115,1.3309553861618042,1.347527265548706,1.347527265548706,0.0,1.1183431148529053,1.1186933517456055,1.111889362335205,1.1186057329177856,1.1186057329177856,0
2019-12-16,1.3355236053466797,1.341705560684204,1.3326226472854614,1.335327386856079,1.335327386856079,0.0,1.1125203371047974,1.115785002708435,1.1123470067977905,1.1124460697174072,1.1124460697174072,0
2019-12-17,1.327175259590149,1.3304948806762695,1.3104099035263062,1.3272457122802734,1.3272457122802734,0.0,1.113709807395935,1.1173185110092163,1.113089919090271,1.1136974096298218,1.1136974096298218,0
2019-12-18,1.3122154474258423,1.3125598430633545,1.3062334060668945,1.3122154474258423,1.3122154474258423,0.0,1.1151504516601562,1.1151504516601562,1.1111358404159546,1.115138053894043,1.115138053894043,0
2019-12-19,1.3084723949432373,1.3129562139511108,1.2996634244918823,1.3087291717529297,1.3087291717529297,0.0,1.1115927696228027,1.1142433881759644,1.110987663269043,1.1115927696228027,1.1115927696228027,0
2019-12-20,1.301642656326294,1.3078391551971436,1.3008298873901367,1.3017443418502808,1.3017443418502808,0.0,1.112371802330017,1.1125946044921875,1.1074320077896118,1.1125946044921875,1.1125946044921875,0
2019-12-23,1.300525426864624,1.3032541275024414,1.2907055616378784,1.3005423545837402,1.3005423545837402,0.0,1.1079840660095215,1.1097548007965088,1.1071499586105347,1.1079840660095215,1.1079840660095215,0
2019-12-24,1.2944481372833252,1.2969495058059692,1.292306900024414,1.2944984436035156,1.2944984436035156,0.0,1.1092993021011353,1.1097548007965088,1.1070642471313477,1.109385371208191,1.109385371208191,0
2019-12-25,1.2934937477111816,1.2986996173858643,1.2923002243041992,1.2934937477111816,1.2934937477111816,0.0,1.109139323234558,1.110864281654358,1.1077877283096313,1.1090162992477417,1.1090162992477417,0
