Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-GBP,BTC-GBP,BTC-GBP,BTC-GBP,BTC-GBP,BTC-GBP,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2019-12-15,7124.23974609375,7181.07568359375,6924.3759765625,7152.3017578125,7152.3017578125,16881129804.0,5343.62841796875,5389.1748046875,5196.529296875,5356.40185546875,5356.40185546875,12642379397,6406.4013671875,6457.51025390625,6226.67578125,6429.296875,6429.296875,15174667036
2019-12-16,7153.6630859375,7171.1689453125,6903.6826171875,6932.48046875,6932.48046875,20213265950.0,5357.42138671875,5374.1884765625,5173.00537109375,5224.677734375,5224.677734375,15233768309,6430.52099609375,6432.98291015625,6194.7021484375,6224.84033203125,6224.84033203125,18149976615
2019-12-17,6931.3154296875,6964.0751953125,6587.97412109375,6640.51513671875,6640.51513671875,22363804217.0,5223.7998046875,5280.015625,5016.80810546875,5060.59716796875,5060.59716796875,17042985554,6223.79443359375,6239.1494140625,5906.77783203125,5954.8154296875,5954.8154296875,20054517794
2019-12-18,6647.6982421875,7324.98486328125,6540.04931640625,7276.802734375,7276.802734375,31836522778.0,5066.0712890625,5599.5625,5004.38671875,5561.26025390625,5561.26025390625,24330903351,5961.25732421875,6590.20849609375,5884.80810546875,6546.5390625,6546.5390625,28641568535
2019-12-19,7277.5908203125,7346.6025390625,7041.3818359375,7202.84423828125,7202.84423828125,25904604416.0,5561.8623046875,5615.13330078125,5376.36279296875,5532.99462890625,5532.99462890625,19899088165,6547.24853515625,6609.17236328125,6325.94921875,6475.3427734375,6475.3427734375,23288187561
2019-12-20,7208.63671875,7257.921875,7086.1240234375,7218.81640625,7218.81640625,22633815180.0,5537.4443359375,5581.087890625,5436.24072265625,5551.01708984375,5551.01708984375,17404611690,6480.55029296875,6552.12548828125,6399.54931640625,6516.82275390625,6516.82275390625,20432789823
2019-12-21,7220.59375,7223.22607421875,7112.73583984375,7191.15869140625,7191.15869140625,19312552168.0,5552.3837890625,5554.408203125,5469.4453125,5529.7490234375,5529.7490234375,14850676678,6518.4267578125,6520.8037109375,6421.05810546875,6491.8544921875,6491.8544921875,17434503033
2019-12-22,7191.1884765625,7518.033203125,7167.17919921875,7511.5888671875,7511.5888671875,23134537956.0,5529.7724609375,5781.2470703125,5511.31005859375,5776.2919921875,5776.2919921875,17790089536,6491.88134765625,6785.5283203125,6470.20654296875,6779.71240234375,6779.71240234375,20880470519
2019-12-23,7508.90234375,7656.17626953125,7326.1923828125,7355.62841796875,7355.62841796875,27831788041.0,5774.22607421875,5926.75341796875,5661.19091796875,5683.28955078125,5683.28955078125,21504091871,6777.28759765625,6906.50634765625,6606.181640625,6631.2900390625,6631.2900390625,25091080546
2019-12-24,7354.39306640625,7535.716796875,7269.52880859375,7322.5322265625,7322.5322265625,22991622105.0,5682.3349609375,5816.31494140625,5610.06982421875,5662.33837890625,5662.33837890625,17778869575,6630.17626953125,6799.9140625,6558.6416015625,6603.123046875,6603.123046875,20732787200
2019-12-25,7325.755859375,7357.02001953125,7220.9912109375,7275.15576171875,7275.15576171875,21559505149.0,5664.8310546875,5676.71337890625,5584.2451171875,5608.5703125,5608.5703125,16620675269,6606.02978515625,6633.02294921875,6506.279296875,6557.31591796875,6557.31591796875,19432228776
2019-12-26,7274.79931640625,7388.302734375,7200.38671875,7238.966796875,7238.966796875,22787010034.0,5608.29541015625,5678.9375,5547.7177734375,5569.68310546875,5569.68310546875,17532393881,6556.9951171875,6652.767578125,6490.01806640625,6521.947265625,6521.947265625,20529956690
2019-12-27,7238.14111328125,7363.529296875,7189.93408203125,7290.08837890625,7290.08837890625,22777360996.0,5569.04736328125,5622.7392578125,5527.59228515625,5573.46240234375,5573.46240234375,17413884692,6521.203125,6583.69482421875,6465.4404296875,6523.7470703125,6523.7470703125,20382982030
2019-12-28,7289.03125,7399.041015625,7286.9052734375,7317.990234375,7317.990234375,21365673026.0,5572.65380859375,5656.75927734375,5571.0283203125,5594.79345703125,5594.79345703125,16334612536,6522.80078125,6621.24609375,6520.8984375,6548.7158203125,6548.7158203125,19119692112
2019-12-29,7317.6474609375,7513.9482421875,7279.865234375,7422.65283203125,7422.65283203125,22445257702.0,5594.53173828125,5739.3193359375,5565.646484375,5669.78564453125,5669.78564453125,17144787650,6548.4091796875,6723.89453125,6514.5986328125,6638.04833984375,6638.04833984375,20072704182
2019-12-30,7420.27294921875,7454.82421875,7276.30810546875,7292.9951171875,7292.9951171875,22874131672.0,5667.9677734375,5681.29150390625,5544.97607421875,5561.8203125,5561.8203125,17444384666,6635.92041015625,6653.482421875,6490.38671875,6510.73388671875,6510.73388671875,20420606561
2019-12-31,7294.43896484375,7335.2900390625,7169.77783203125,7193.59912109375,7193.59912109375,21167946112.0,5562.92138671875,5554.9052734375,5413.18212890625,5424.69287109375,5424.69287109375,15962748163,6512.02294921875,6537.01220703125,6392.17236328125,6411.46044921875,6411.46044921875,18866418835
2020-01-01,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,7200.17431640625,18565664997.0,5425.66796875,5472.48583984375,5407.09521484375,5433.84912109375,5433.84912109375,14011191757,6412.61279296875,6469.86181640625,6420.14013671875,6417.78173828125,6417.78173828125,16548264141
2020-01-02,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,6985.47021484375,20802083465.0,5435.64306640625,5437.12109375,5277.1650390625,5313.35791015625,5313.35791015625,15822688746,6419.900390625,6425.73486328125,6206.927734375,6252.9384765625,6252.9384765625,18620672983
2020-01-03,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,7344.88427734375,28111481032.0,5312.56591796875,5662.306640625,5263.736328125,5615.14208984375,5615.14208984375,21491142914,6252.00634765625,6634.89697265625,6187.71142578125,6581.73583984375,6581.73583984375,25190641930
