Datetime,BTC-EUR_Open,BTC-EUR_High,BTC-EUR_Low,BTC-EUR_Close,BTC-EUR_Adj Close,BTC-EUR_Volume
2025-01-05 00:00:00+00:00,95269.109375,95269.109375,95184.6640625,95184.6640625,95184.6640625,0
2025-01-05 00:05:00+00:00,95191.1015625,95269.75,95186.1953125,95269.75,95269.75,0
2025-01-05 00:10:00+00:00,95272.5234375,95288.9375,95272.5234375,95283.8984375,95283.8984375,0
2025-01-05 00:15:00+00:00,95296.078125,95359.78125,95296.078125,95359.78125,95359.78125,0
2025-01-05 00:20:00+00:00,95368.3984375,95368.3984375,95241.0546875,95241.0546875,95241.0546875,13359104
2025-01-05 00:25:00+00:00,95241.0546875,95264.609375,95239.90625,95264.609375,95264.609375,0
2025-01-05 00:30:00+00:00,95277.0625,95299.71875,95271.8046875,95271.8046875,95271.8046875,0
2025-01-05 00:35:00+00:00,95271.8046875,95345.21875,95271.8046875,95310.578125,95310.578125,0
2025-01-05 00:40:00+00:00,95310.578125,95335.828125,95279.6875,95279.6875,95279.6875,0
2025-01-05 00:45:00+00:00,95276.453125,95294.5078125,95265.7421875,95265.7421875,95265.7421875,0
2025-01-05 00:50:00+00:00,95261.84375,95261.84375,95236.5078125,95254.5859375,95254.5859375,0
2025-01-05 00:55:00+00:00,95261.7890625,95272.7265625,95254.71875,95254.71875,95254.71875,0
2025-01-05 01:00:00+00:00,95249.6328125,95261.234375,95249.6328125,95251.90625,95251.90625,0
2025-01-05 01:05:00+00:00,95230.796875,95230.796875,95186.1796875,95186.1796875,95186.1796875,0
2025-01-05 01:10:00+00:00,95219.9140625,95307.0703125,95219.9140625,95307.0703125,95307.0703125,0
2025-01-05 01:15:00+00:00,95296.3359375,95342.375,95271.4453125,95342.375,95342.375,0
2025-01-05 01:20:00+00:00,95319.625,95324.7265625,95296.9375,95296.9375,95296.9375,0
2025-01-05 01:25:00+00:00,95296.9375,95296.9375,95254.4609375,95254.4609375,95254.4609375,0
2025-01-05 01:30:00+00:00,95237.84375,95237.84375,95181.3046875,95181.3046875,95181.3046875,0
2025-01-05 01:35:00+00:00,95192.4453125,95192.4453125,95115.046875,95128.5625,95128.5625,0
2025-01-05 01:40:00+00:00,95124.8046875,95168.4765625,95110.8828125,95168.4765625,95168.4765625,0
2025-01-05 01:45:00+00:00,95168.4765625,95168.4765625,95118.75,95118.75,95118.75,0
2025-01-05 01:50:00+00:00,95082.5859375,95104.7734375,95067.078125,95067.078125,95067.078125,0
2025-01-05 01:55:00+00:00,95067.078125,95139.921875,95067.078125,95139.921875,95139.921875,0
2025-01-05 02:00:00+00:00,95139.921875,95170.9921875,95139.921875,95168.640625,95168.640625,0
2025-01-05 02:05:00+00:00,95161.0,95181.71875,95161.0,95175.25,95175.25,0
2025-01-05 02:10:00+00:00,95191.28125,95206.1796875,95191.28125,95198.1640625,95198.1640625,0
2025-01-05 02:15:00+00:00,95201.03125,95210.5234375,95201.03125,95210.5234375,95210.5234375,0
2025-01-05 02:20:00+00:00,95203.125,95220.3984375,95200.6171875,95220.3984375,95220.3984375,0
2025-01-05 02:25:00+00:00,95224.5078125,95224.5078125,95191.6328125,95199.359375,95199.359375,1093632
2025-01-05 02:30:00+00:00,95199.359375,95199.359375,95144.328125,95160.7109375,95160.7109375,3983360
2025-01-05 02:35:00+00:00,95193.578125,95201.4765625,95156.2109375,95175.7890625,95175.7890625,0
2025-01-05 02:40:00+00:00,95175.7890625,95175.7890625,95157.46875,95157.46875,95157.46875,0
2025-01-05 02:45:00+00:00,95167.3125,95180.8125,95167.3125,95177.953125,95177.953125,0
2025-01-05 02:50:00+00:00,95173.453125,95187.921875,95173.453125,95187.921875,95187.921875,0
2025-01-05 02:55:00+00:00,95187.921875,95219.9453125,95183.40625,95219.9453125,95219.9453125,0
2025-01-05 03:00:00+00:00,95241.6796875,95244.015625,95217.3671875,95217.3671875,95217.3671875,0
2025-01-05 03:05:00+00:00,95210.0390625,95210.0390625,95189.859375,95189.859375,95189.859375,0
2025-01-05 03:10:00+00:00,95200.0546875,95210.4375,95200.0546875,95209.2109375,95209.2109375,0
2025-01-05 03:15:00+00:00,95196.0625,95199.9765625,95196.0625,95199.9765625,95199.9765625,0
2025-01-05 03:20:00+00:00,95183.109375,95183.109375,95142.453125,95142.453125,95142.453125,0
2025-01-05 03:25:00+00:00,95139.40625,95190.8984375,95139.40625,95168.03125,95168.03125,0
2025-01-05 03:30:00+00:00,95168.8515625,95168.8515625,95148.9453125,95148.9453125,95148.9453125,2863104
2025-01-05 03:35:00+00:00,95160.734375,95199.953125,95160.734375,95163.25,95163.25,0
2025-01-05 03:40:00+00:00,95163.25,95163.6796875,95134.15625,95134.15625,95134.15625,3194880
2025-01-05 03:45:00+00:00,95139.46875,95139.46875,95105.625,95128.8359375,95128.8359375,0
