Datetime,BTC-EUR_Open,BTC-EUR_High,BTC-EUR_Low,BTC-EUR_Close,BTC-EUR_Adj Close,BTC-EUR_Volume
2019-12-28,6522.80078125,6621.24609375,6520.8984375,6548.7158203125,6548.7158203125,19119692112
2019-12-29,6548.4091796875,6723.89453125,6514.5986328125,6638.04833984375,6638.04833984375,20072704182
2019-12-30,6635.92041015625,6653.482421875,6490.38671875,6510.73388671875,6510.73388671875,20420606561
2019-12-31,6512.02294921875,6537.01220703125,6392.17236328125,6411.46044921875,6411.46044921875,18866418835
2020-01-01,6412.61279296875,6469.86181640625,6420.14013671875,6417.78173828125,6417.78173828125,16548264141
2020-01-02,6419.900390625,6425.73486328125,6206.927734375,6252.9384765625,6252.9384765625,18620672983
2020-01-03,6252.00634765625,6634.89697265625,6187.71142578125,6581.73583984375,6581.73583984375,25190641930
2020-01-04,6582.17626953125,6655.66552734375,6550.041015625,6640.67431640625,6640.67431640625,16527874601
2020-01-05,6640.49072265625,6760.6083984375,6628.50439453125,6640.66650390625,6640.66650390625,17674001715
2020-01-06,6639.89111328125,6950.91943359375,6637.79296875,6939.71484375,6939.71484375,20791101700
2020-01-07,6939.2353515625,7335.24609375,6938.82958984375,7320.77490234375,7320.77490234375,25797010963
2020-01-08,7319.19921875,7551.09423828125,7160.52392578125,7270.78564453125,7270.78564453125,28501027543
2020-01-09,7272.9755859375,7272.9755859375,7061.7080078125,7092.748046875,7092.748046875,21646224663
2020-01-10,7092.060546875,7343.36572265625,6963.044921875,7343.36572265625,7343.36572265625,25820153792
2020-01-11,7339.4423828125,7389.9482421875,7219.60400390625,7226.70263671875,7226.70263671875,22946564430
2020-01-12,7222.8583984375,7374.1611328125,7201.09716796875,7369.64013671875,7369.64013671875,20603017030
2020-01-13,7367.19140625,7373.55810546875,7263.31982421875,7313.7470703125,7313.7470703125,20190373251
2020-01-14,7310.818359375,7980.09716796875,7310.818359375,7933.51171875,7933.51171875,40299311377
2020-01-15,7931.33642578125,7973.26171875,7776.3359375,7896.189453125,7896.189453125,35955399490
2020-01-16,7901.0947265625,7929.0654296875,7720.04638671875,7833.05224609375,7833.05224609375,28116699120
